Word,Pronunciation,Translation,Definition,Familiarity
induce,[ɪnˈduːs],v. 引发，导致,cause,2
elude,[ɪˈluːd],vt.躲闪，躲避；; vt.使无法理解，使困惑,1. avoid adroitly; 2. escape the perception,2
penance,[ˈpenəns],n.忏悔,regret,2
farce,[fɑːrs],n.闹剧,ridiculous,2
acquiesce,[ˌækwiˈes],v.勉强同意；默许,accept tacitly or passively,2
confluence,[ˈkɑːnfluəns],n.汇合，混合,come together to the same point,2
effervesce,"[,efə'ves]",vi. 兴奋，热情洋溢,high spirits,2
splice,[splaɪs],vt. 接合，叠接,unite,2
abeyance,[əˈbeɪəns],n.中止，搁置,inactivity,2
consequence,[ˈkɑːnsɪkwens],n.结果; n.重要性，价值,1. something produced by a cause; 2. importance,2
malfeasance,[ˌmælˈfiːzns],n.非法行为,illegal behavior,2
cascade,[kæˈskeɪd],n.一连串，大量,rushing forth in quantity,2
resurgence,[rɪˈsɜːrdʒəns],n.复兴,restoration,2
ensconce,[ɪnˈskɑːns],vt. 隐藏,hiding,2
novice,[ˈnɑːvɪs],n.新手，初学者,a person new to a field,2
surveillance,[sɜːrˈveɪləns],n.监视，监控,close observation,2
avarice,[ˈævərɪs],n.贪财，贪婪,insatiable,2
decode,['di'kod],vt. 解码   ;  vt. 对…有清晰的想法，理解，解读,1. change into ordinary language; 2. clear idea,2
caprice,[kəˈpriːs],n.反复无常，善变,change one's mind impulsively,2
pervade,[pərˈveɪd],v.弥漫，充满,be present throughout,2
supersede,[ˌsuːpərˈsiːd],v.取代，替代,displace,2
magnitude,[ˈmæɡnɪtuːd],n.重要，重大,greatness in significance,2
cowardice,[ˈkaʊərdɪs],n.懦弱，不坚定,lack of courage,2
impuissance,[ɪm'pjuːɪsəns],n. 无权，虚弱,lack of power,2
cede,[siːd],vt.（根据条约）放弃，割让,surrender possession of,2
appurtenance,[əˈpɜːrtɪnəns],n.附属物,subordinate,2
remonstrance,[rɪˈmɑːnstrəns],n.抗议，抱怨,expression of protest,2
concede,[kənˈsiːd],v.承认,grant as a privilege,2
turpitude,[ˈtɜːrpɪtuːd],n. 卑鄙,baseness,2
forbearance,[fɔːrˈberəns],n.克制；忍耐,tolerance and restraint,2
barricade,[ˈbærɪkeɪd],n.障碍物;  v.用障碍物阻止通过,1. an obstruction; 2. prevent access,2
chide,[tʃaɪd],v.责备,scold mildly,2
entrance,[ˈentrəns; ɪnˈtræns],vt.使入迷,fill with wonder,2
countenance,[ˈkaʊntənəns],v.容忍; v.赞成，推崇,1. put up with; 2. have a favorable opinion of,2
avant-garde,[ði ˌævɑ̃ː ˈɡɑːrd],n.（尤指艺术上的）先锋派,develop new concept,2
prescience,[ˈpresiəns],n.预知，先见,knowledge of actions before they occur,2
persistence,[pərˈsɪstəns],n.坚持，持续,lasting existence,2
forebode,[fɔː'bəʊd],v.预示，预兆,show signs,2
glide,[ɡlaɪd],v.轻松地行动，轻松地通过,"smoothly, continuously, effortlessly",2
subside,[səbˈsaɪd],vi. 下陷，下沉，减弱,tend downward,2
wince,[wɪns],vi. 畏缩,shrink back from pain,2
consilience,[kən'sɪlɪəns],n.融合,the linking together of principles,2
impede,[ɪmˈpiːd],vt. 妨碍，阻碍,slow the progress of,2
somnolence,[ˈsɒmnələns],n.瞌睡，嗜睡,needing sleep,2
accolade,"[ˈækəleɪd,ˌækəˈleɪd]",n.同意，赞赏; v.赞扬,1.approval; 2.praise,2
rectitude,[ˈrektɪtuːd],n.正直,moral integrity,2
prude,[pruːd],n.过分正经的人：一个过分关心自己是否得体、谦逊或正确的人,greatly concerned with seemly behavior and morality,2
decadence,[ˈdekədəns],n. 衰落，颓废,deterioration or decline,2
entice,[ɪnˈtaɪs],vt.诱使,tempt,2
euphoria,[juːˈfɔːriə],n.感觉极其愉快,overwhelming usually pleasurable,2
meteoric,[ˌmiːtiˈɔːrɪk],adj.流星般迅速而短暂的,brevity,2
panegyric,[ˌpænəˈdʒɪrɪk],n.赞颂之词，颂文,eulogistic,2
barb,[bɑːrb],n.尖锐而严厉的批评,a critical remark,2
synergic,[sɪ'nɜːdʒɪk],adj. 合作的，1+1>2的,cooperating,2
