Word,Pronunciation,Translation,Definition,Familiarity
suspend,[səˈspend],vi. 暂停，中止,bring to a formal close,2
florid,[ˈflɔːrɪd],adj.辞藻华丽的，花哨的,full of fancy expressions,2
accord,[əˈkɔːrd],n.一致；; vi.相符合，相一致；; vt.授予，给予,1. consistency; 2. in harmony; 3. grant or give,2
arid,[ˈærɪd],adj.干燥的；; adj.无趣的，无聊的,1. little or no precipitation; 2. lack of interest,2
squalid,[ˈskwɑːlɪd],adj. 污秽的，肮脏的,dirty,2
wayward,[ˈweɪwərd],adj.刚愎自用的，不服管束的,following one's own inclinations,2
preface,[ˈprefəs],n.序言,a preliminary statement,2
abscond,[əbˈskɑːnd],v.偷偷离开,depart secretly,2
hoard,[hɔːrd],v. 贮藏，秘藏,keep hidden,2
limpid,[ˈlɪmpɪd],adj.透明清澈的,transparent clearness,2
countermand,[ˈkaʊntərmænd],v.取消，撤销,revoke,2
reprehend,[ˌreprɪˈhend],vt.谴责，责难，批评,express unfavorable opinion,2
shrewd,[ʃruːd],adj.精明的，机敏的,cleverness or judgement,2
pallid,[ˈpælɪd],adj.无生气的，缺乏活力的; adj.苍白无血色的,"1.lacking radiance,vitality; 2.pale",2
diehard,[ˈdaɪhɑːrd],adj. 顽固的，保守的 n. 顽固的人，保守的人,"determined, devoted/ opposes change and refuses new ideas",2
gild,[ɡɪld],vt.（带欺骗性地）修改，润色,deceptively attractive,2
torrid,[ˈtɔːrɪd],adj. 酷热的; adj. 热情的，情感深厚的,1. intensely hot; 2. great depth of feeling,2
haphazard,[hæpˈhæzərd],adj.无秩序的，无目标的,"lack of plan, order, or direction",2
withhold,"[wɪðˈhoʊld,wɪθˈhoʊld]",vt. 抑制；扣压，不给予,refrain from giving,2
menace,[ˈmenəs],vt.威胁，使处于危险,intention to harm,2
dullard,[ˈdʌlɑːrd],n. 笨蛋,stupid,2
falsehood,[ˈfɔːlshʊd],n.谎言,untrue; made in order to deceive,2
fetid,[ˈfetɪd],adj.恶臭的,offensive smell,2
offhand,[ˌɔːfˈhænd],adj.即兴的，没有准备的,without premeditation,2
sluggard,[ˈslʌɡərd],n.懒人,lazy person,2
disregard,[ˌdɪsrɪˈɡɑːrd],vt. 漠视，不关注    ; n. 缺乏兴趣，缺乏关心,1. no attention; 2. lack of interest or concern,2
jocund,"[ˈdʒɑːkənd,ˈdʒoʊkənd]",adj. 欢快的，高兴的,sprightly and lighthearted,2
husband,[ˈhʌzbənd],vt. 节俭，勤俭持家,use economically,2
torpid,[ˈtɔːrpɪd],adj. 麻木的，没有知觉的,lacking in sensation,2
foreground,[ˈfɔːrɡraʊnd],vt.强调，重视,indicate the importance,2
jibe,[dʒaɪb],vi. 意见一致,agree,2
efface,[ɪˈfeɪs],vt. 擦掉，抹去；使不明显,make indistinct,2
imbibe,[ɪmˈbaɪb],v. 喝水，摄取水分,take in liquid,2
strand,[strænd],vt. 遗弃，使置于困境,leave in a unfavorable place,2
distend,[dɪˈstend],v.(使）膨胀,expand,2
solid,[ˈsɑːlɪd],adj.有理有据的,sound reasoning,2
paranoid,[ˈpærənɔɪd],adj.多疑的，对他人极端恐惧和怀疑的,extreme fear or distrust,2
compound,[ˈkɑːmpaʊnd],n.混和物; adj.混合的; v.混合; v.使恶化，加重,1. bring together; 2. make worse,2
lurid,[ˈlʊrɪd],adj.恐怖的，令人反感的,causing revulsion,2
confound,[kənˈfaʊnd],v.使困惑; v.证明为假，证伪,1. throw into uncertainty; 2. prove to be false,2
bribe,[braɪb],v.贿赂，收买,give money to a person to influence his conduct,2
retard,[rɪˈtɑːrd; ˈriːtɑːrd],vt.减速，延迟,cause slowly,2
discord,[ˈdɪskɔːrd],n. 意见不一致，不和谐,lack agreement harmony,2
diatribe,[ˈdaɪətraɪb],n. 长篇抨击性演讲,long scolding,2
xenophobe,['zɛnəfob],n. 仇视（或畏惧）外国人（或外国事物）者,fearful of what is foreign,2
uphold,[ʌpˈhoʊld],vt. 支持，赞成,support,2
undergird,[ˌʌndərˈɡɜːrd],vt. 加强，巩固…的底部,strengthen,2
rescind,[rɪˈsɪnd],vt.废除，取消,make void,2
insipid,[ɪnˈsɪpɪd],adj. 平淡的，无聊的,lacking interest,2
timid,[ˈtɪmɪd],adj. 胆小的，不自信的,lacking courage or self-confidence,2
safeguard,[ˈseɪfɡɑːrd],n.保护措施; vt.保护,1.prevent accident; 2.make safe,2
turgid,[ˈtɜːrdʒɪd],adj. 浮夸的，过分装饰的,embellished,2
intrepid,[ɪnˈtrepɪd],adj. 大胆的,resolute fearlessness,2
grandstand,[ˈɡrænstænd],vi.为了给人留下印象而表演，哗众取宠,impress,2
probe,[proʊb],v./n.深入调查,a penetrating investigation,2
ribald,"[ˈrɪbld,ˈraɪbɔːld]",adj.（举止、言语）下流粗俗的,vulgar,2
stolid,[ˈstɑːlɪd],adj. 无动于衷的，感情麻木的,little emotion,2
shroud,[ʃraʊd],vt.将…从视线中隔离，遮蔽,shut off from sight,2
fervid,[ˈfɜːrvɪd],adj.酷热的; adj.热情的,1. high temperature; 2. great passion,2
moribund,[ˈmɔːrɪbʌnd],adj.即将过时的,obsolete,2
aboveboard,[əˈbʌvˈbɔːrd],adj.无欺诈的，光明正大的,free from deceit or duplicity,2
sound,[saʊnd],adj.牢固的，不可动摇的; adj.健康的，强壮的; adj.（逻辑上）严谨的,1.withstand stress without structural damage; 2.free from injury; 3.valid reasoning,2
chokehold,,n.压制,a force that stops something from growing,2
contend,[kənˈtend],vi.竞争，争夺；; vt.声明，声称,1. strive or vie in contest; 2. state as a fact,2
awkward,[ˈɔːkwərd],adj.缺乏灵活性和技巧的; adj.（处理问题）缺乏手段和智谋的,1.lacking dexterity; 2.a lack of skill and tact,2
chord,[kɔːrd],v.与…和谐一致；符合,agree,2
allude,[əˈluːd],vi.间接提到,indirectly,2
platitude,[ˈplætɪtuːd],n.陈词滥调,a banal statement,2
vicissitude,[vɪˈsɪsɪtuːd],n. 自然变化，变迁兴衰,natural change,2
implode,[ɪmˈploʊd],v. （使）剧烈收缩，（使）坍缩，（使）内爆,collapse inward,2
pulchritude,"[ˈpʌlkrɪtjuːd,ˈpʌlkrɪtuːd]",n.美丽,beauty,2
renounce,[rɪˈnaʊns],vt.（正式地）放弃,give up,2
dissonance,[ˈdɪsənəns],n. (音调）不和谐，刺身；不一致，分歧,"disagreeable, discord",2
puissance,[ˈpwɪsəns],n.权力,power,2
accede,[əkˈsiːd],v.赞成,approval or conscent,2
evince,[ɪˈvɪns],vt.表明,make known,2
certitude,[ˈsɜːrtɪtuːd],n.确信无疑,certain,2
backslide,['bækslaɪd],vi.（情况等）倒退，变坏,revert to a worse condition,2
preclude,[prɪˈkluːd],v.预先阻止,make impossible in advance,2
allegiance,[əˈliːdʒəns],n.忠诚,devotion or loyalty,2
edifice,[ˈedɪfɪs],n. 大厦，大建筑物 ;  n. 基础，基本框架,1. massive structure; 2.basic form,2
pittance,[ˈpɪtns],n.少量津贴,a small portion,2
credence,[ˈkriːdns],n.坚信,firm belief,2
denounce,[dɪˈnaʊns],vt. 公开指责,public or formal disapproval,2
retrograde,[ˈretrəɡreɪd],adj.倒退的/vi.退步，退化,moving backward,2
provenance,[ˈprɑːvənəns],n.来源，起源,"origin,source",2
truce,[truːs],n. 休战，休战协定,suspension of fighting,2
lassitude,[ˈlæsɪtuːd],n. 乏力，没精打采,diminished energy,2
seduce,[sɪˈduːs],vt.劝说（使不忠，使不顺从），诱…误入歧途,persuade,2
renaissance,[ˈrenəsɑːns],n.复兴,becomes popular again,2
nuance,[ˈnuːɑːns],n.细微的差异,subtle distinction,2
solitude,[ˈsɑːlətuːd],n.孤独，避世,being alone,2
dissuade,[dɪˈsweɪd],vt. 劝阻，反对,deter persuasion or exhortation,2
rejoice,[rɪˈdʒɔɪs],vi.欣喜，喜悦,feel joy,2
variance,"[ˈveriəns,ˈværiəns]",n. 不一致，不和谐,lack harmony,2
secede,[sɪˈsiːd],vi. 脱离，退出（组织，团体，联盟等）,withdraw from an organization,2
complaisance,[kəmˈpleɪzəns],n.愿意顺从，讨好，彬彬有礼,"disposition to comply, affability",2
resilience,[rɪˈzɪliəns],n.恢复能力,ability to recover quickly,2
convalesce,[ˌkɑːnvəˈles],v.渐渐康复，渐愈,recover gradually,2
discommode,"[,dɪskə'məʊd]",vt. 打扰，使不便,trouble,2
deride,[dɪˈraɪd],vt. 嘲弄，嘲笑,contemptuous mirth,2
