Word,Pronunciation,Translation,Definition,Familiarity
inevitable,[ɪnˈevɪtəbl],adj. 不可避免的，必然的,incapable avoided,2
accessible,[əkˈsesəbl],adj.可以到达的; adj.可理解的,1.within easy reach; 2.understood,2
inimitable,[ɪˈnɪmɪtəbl],adj. 无法仿效的，独特的,not imitated,2
hobble,[ˈhɑːbl],vt.阻碍，妨碍,hamper the action,2
untenable,[ʌnˈtenəbl],adj. 防守不住的，站不住脚的,unable to be defended,2
feeble,[ˈfiːbl],adj.衰弱的,lacking in strength,2
tangible,[ˈtændʒəbl],adj. 可感知的,capable of being perceived,2
fumble,[ˈfʌmbl],v.笨拙地做,awkward attempts,2
ennoble,[ɪˈnoʊbl],vt. 使尊贵,noble,2
incorrigible,[ɪnˈkɔːrɪdʒəbl],adj. 不可救药的，积习难改的; adj. 无法管制的,1. incapable of being corrected; 2. impossible to control,2
bumble,[ˈbʌmbl],vi.含糊不清地说，杂乱无章地说；,"rapidly, inarticulately",2
palpable,[ˈpælpəbl],adj.明显的，易觉察的,obvious,2
despicable,"[dɪˈspɪkəbl,ˈdespɪkəbl]",adj. 令人鄙视的,loathing and disgust,2
unflappable,[ˌʌnˈflæpəbl],adj. 镇定的，从容不迫的,not easily upset,2
quibble,[ˈkwɪbl],vi.吹毛求疵,cavil,2
amenable,"[əˈmiːnəbl,əˈmenəbl]",adj.顺从的，服从的,"yield, submit",2
ineffable,[ɪnˈefəbl],adj. 难以表达的,incapable expressed,2
edible,[ˈedəbl],adj. 可食用的,eaten,2
malleable,[ˈmæliəbl],adj.可塑的; adj.易控制的,1.capable of being shaped; 2.capable of being controlled,2
flexible,[ˈfleksəbl],adj.灵活的，可变的; adj.易受影响的,1. readily changed; 2. susceptible to influence,2
scrutable,[ˈskruːtəbl],adj.可以理解的,"understood,comprehensible",2
dependable,[dɪˈpendəbl],adj.可靠的，值得信赖的,depended on,2
tractable,[ˈtræktəbl],adj. 易驾驭的，温顺的,giving in,2
fungible,[ˈfʌndʒəbl],adj.可互换的,substituted in place of one another,2
foible,[ˈfɔɪbl],n.小缺点,minor flaw,2
grumble,[ˈɡrʌmbl],vi.（尤指低声地）抱怨，埋怨,complain,2
estimable,[ˈestɪməbl],adj.值得尊敬的,admirabie,2
gobble,[ˈɡɑːbl],vt.狼吞虎咽,eat greedily,2
incontrovertible,[ˌɪnkɑːntrəˈvɜːrtəbl],adj. 不可争议的,not open to question,2
tenable,[ˈtenəbl],adj. 有据可依的，无懈可击的,capable of being defended; reasonable,2
unexceptionable,[ˌʌnɪkˈsepʃənəbl],adj. 无懈可击的,beyond reproach,2
insensible,[ɪnˈsensəbl],adj. 无知觉的,lost consciousness,2
ponderable,[ˈpɑːndərəbəl],adj.值得考虑的，有价值的,considerable enough to be weighed,2
vulnerable,[ˈvʌlnərəbl],adj. 易受攻击的，脆弱的,open to attack,2
perceptible,[pərˈseptəbl],adj.可察觉的,being perceived,2
imperishable,[ɪmˈperɪʃəbl],adj.不朽的，永恒的,enduring forever,2
ineluctable,[ˌɪnɪˈlʌktəbl],adj. 无法逃避的，必然的,not to be avoided,2
garble,[ˈɡɑːrbəl],vt.曲解，篡改，混淆（以至使无法理解）,distort; misleading,2
intangible,[ɪnˈtændʒəbl],adj. 无法感知的，无形的,incapable perceived,2
susceptible,[səˈseptəbl],adj. 容易受伤害的,likely to meet with harm,2
permeable,[ˈpɜːrmiəbl],adj.可渗透的,capable of being penetrated,2
invincible,[ɪnˈvɪnsəbl],adj. 不可战胜的，不可超越的,incapable conquered,2
unassailable,[ˌʌnəˈseɪləbl],adj. 无可争辩的，无法否认的，不可亵渎的,not to be violated,2
wobble,[ˈwɑːbl],vi. 摇晃，颤抖; v.犹豫不决,1. move or proceed unsteadily; 2. show uncertainty,2
arable,[ˈærəbl],adj.适合耕种的,growing of crops,2
mumble,[ˈmʌmbl],v.说话含糊,utter confused,2
plausible,[ˈplɔːzəbl],adj.可信的,reasonable,2
palatable,[ˈpælətəbl],adj.感到愉悦满足的,pleasure or contentment,2
rabble,[ˈræbl],n.混乱的人群；暴民；下层民众,disorganized crowd of people,2
fable,[ˈfeɪbl],n.神话，传说; n.谎言，虚构,1.story of upernatural happenings; 2.statement made in order to deceive,2
personable,[ˈpɜːrsənəbl],adj.风度翩翩的，吸引人的,attractive,2
combustible,[kəmˈbʌstəbl],adj.可燃的; adj.容易激动的,1. capable of igniting; 2. easily excited,2
amiable,[ˈeɪmiəbl],adj.好脾气的，友好易相处的,friendly,2
unimpeachable,[ˌʌnɪmˈpiːtʃəbl],adj. 无可置疑的,unquestionable,2
friable,[ˈfraɪəbl],adj.易碎的,easily crumbled,2
appreciable,[əˈpriːʃəbl],adj.可感知的，明显的,perceptible,2
implacable,[ɪmˈplækəbl],adj. 固执的; adj. 无法平息的,1. sticking to an opinion; 2. not capable of being appeased,2
favorable,[ˈfeɪvərəbl],adj.有利的,promote,2
