Word,Pronunciation,Translation,Definition,Familiarity
dwindle,[ˈdwɪndl],vi. 逐渐减少,gradually less,2
befuddle,[bɪˈfʌdəl],v.使困惑,throw into mental uncertainty,2
stifle,[ˈstaɪfl],vt. 抑制（声音、呼吸等）；阻止，扼杀,hold back,2
disciple,[dɪˈsaɪpl],n. 信徒，追随者,follower,2
facile,[ˈfæsl],adj.表面的，浅尝辄止的,lack of depth,2
inflame,[ɪnˈfleɪm],vt. 使加剧,more voilent,2
ductile,[ˈdʌktaɪl],adj. 易受影响的,easily led,2
wrangle,[ˈræŋɡl],n. 纷争，争端; vi. 争吵,1. differing opinions; 2. quarrel,2
servile,"[ˈsɜːrvl,ˈsɜːrvaɪl]",adj.低下的，卑屈的,"submissive,abject",2
rustle,[ˈrʌsl],vi.快速地行动,move or act with speed,2
mangle,[ˈmæŋɡl],vt.弄砸,ruin,2
crumple,[ˈkrʌmpl],v. 弄皱,bend,2
puerile,[ˈpjʊrəl],adj.幼稚的，不成熟的,immature,2
versatile,[ˈvɜːrsətl],adj. 多才多艺的，全能的,different things,2
acme,[ˈækmi],n.顶点，极点,highest,2
saddle,[ˈsædl],vt.使某人有负担,load,2
voluble,[ˈvɑːljəbl],adj. 健谈的，话多的,ready speech,2
commingle,[kəˈmɪŋɡl],v.充分混合,blend thoroughly,2
mime,[maɪm],v.模仿,model,2
bustle,[ˈbʌsl],n.忙乱，喧闹；; vi.（快速地）行走，奔忙,"1. noisy, energetic; 2. move briskly",2
shackle,[ˈʃækl],vt.束缚; vt.限制，阻碍,1.restrictions; 2.create difficulty,2
waffle,[ˈwɑːfl],vi. 胡扯,talk foolishly,2
sublime,[səˈblaɪm],adj. 崇高的，庄严的,high moral,2
waddle,[ˈwɑːdl],vi. 摇摇摆摆地走,tilt the body from side to side,2
muffle,[ˈmʌfl],vt.使消声,deaden the sound,2
disgruntle,[dɪs'grʌntl],vt. 使发怒，使不满意,discontented,2
vile,[vaɪl],adj. 丑陋的; adj. （道德上）可鄙的，卑鄙的,1. unpleasant to look at; 2. morally despicable,2
minuscule,[ˈmɪnəskjuːl],adj.极小的,very small,2
bungle,[ˈbʌŋɡl],v.办糟，失败,work clumsily,2
cajole,[kəˈdʒoʊl],v.哄骗,wheedle,2
supple,[ˈsʌpl],adj. 易弯曲的，柔软的,bent; pliant,2
manacle,[ˈmænəkl],vt.限制，给…制造困难,confine or restrain,2
winsome,[ˈwɪnsəm],adj. 迷人的，漂亮的,pleasing and engaging,2
doodle,[ˈduːdl],vi (无目的地）乱涂乱画    ; vi. 漫无目的地打发时光,1. aimlessly; 2. aimless activity,2
beguile,[bɪˈɡaɪl],v.欺骗,believe what is untrue,2
rile,[raɪl],vt.刺激，惹怒,make agitated,2
kindle,[ˈkɪndl],vt. 点燃,set fire; ignite,2
startle,[ˈstɑːrtl],vt. 使吓一跳，使大吃一惊,frighten or surprise,2
futile,[ˈfjuːtl],adj.无效的，无用的,ineffective,2
tactile,[ˈtæktl],adj. 有触觉的，能触知的,touch; tangible,2
baffle,[ˈbæfl],vt.使疑惑,mental uncertainty,2
domicile,"[ˈdɑːmɪsaɪl,ˈdoʊmɪsaɪl]",vt. 为…提供住处,provide domicile,2
tame,[teɪm],adj.被驯化的; v.控制，抑制,1. reduced from a state of wildness; 2. keep from exceeding,2
fickle,[ˈfɪkl],adj.易变的；,likely to change,2
brittle,[ˈbrɪtl],adj.易碎的，脆弱的，易坏的; adj.不热心的，不真心的,1. easily broken; 2. lacking in friendlyness,2
guile,[ɡaɪl],n.狡猾，狡诈,misleading,2
condole,[kənˈdoʊl],v.表达同情,express sympathetic sorrow,2
debacle,[dɪˈbɑːkl],n. 溃败,complete failure,2
boggle,[ˈbɑːɡl],v.（因为怀疑、恐惧）犹豫,hesitate,2
rumple,[ˈrʌmpl],vt.打乱，使不整齐,undo the proper order,2
goggle,[ˈɡɑːɡl],vi.凝视,look,2
cumbersome,[ˈkʌmbərsəm],adj. 笨重的，难处理的,difficult to handle,2
simile,[ˈsɪməli],n.明喻,a figure of speech comparing to unlike things,2
pinnacle,[ˈpɪnəkl],n.顶峰,the highest point,2
bristle,[ˈbrɪsl],v.怒不可遏，咆哮,express one's anger,2
heckle,[ˈhekl],vt.起哄，使难堪,harass,2
console,[ˈkɑːnsoʊl; kənˈsoʊl],v.安慰，藉慰,"alleviate the grief, comfort",2
motile,['motɪl],adj.能动的,movement,2
entangle,[ɪnˈtæŋɡl],vt.使变复杂或困难,make complete or difficult,2
ridicule,[ˈrɪdɪkjuːl],vt.嘲笑,make fun,2
guzzle,[ˈɡʌzl],v.狂饮,drink greedily,2
dismantle,[dɪsˈmæntl],vt. 分解，分拆,pieces; destroy integrity,2
rankle,[ˈræŋkl],vt.激怒,cause anger,2
idle,[ˈaɪdl],adj.闲置的，未使用的; adj.懒散的; v.懒散度日，无所事事,1. not turned to use; 2. lazy; 3. pass without working,2
noisome,[ˈnɔɪsəm],adj.恶臭的; adj.非常令人厌恶的,1.offensive smell; 2.objectionable,2
agape,[əˈɡeɪp; ˈæɡəpi],adj.急切盼望的,eagerly awaiting,2
threadbare,[ˈθredber],adj. 陈腐的,hackneyed,2
abjure,[əbˈdʒʊr],v.发誓放弃; v.抵制，避免,1.rejecting; 2.resist,2
expire,[ɪkˈspaɪər],v.断气，死亡; v.到期,1.die ; 2.come to an end,2
immune,[ɪˈmjuːn],adj. 不易被感染的，有免疫力的; adj. 不受影响的,1. having resistence to infection; 2. not affected by influence,2
sanguine,[ˈsæŋɡwɪn],adj.乐观的，确信的,free from doubt,2
transfigure,[trænsˈfɪɡjər],vt. 使改变外观,alter appearance; transform,2
hone,[hoʊn],vt. 提升，改进,improve,2
importune,[ˌɪmpɔːrˈtuːn],vt. 恳求，迫切请求,urgent manner,2
libertine,[ˈlɪbərtiːn],n.放荡不羁者,without moral restraint,2
adore,[əˈdɔːr],vt.喜爱，因…感到愉悦; vt.宠爱,1.pleasure; 2.tenderness,2
persevere,[ˌpɜːrsəˈvɪr],v.坚持不懈，不屈不挠,persist,2
jejune,[dʒɪˈdʒuːn],adj.无趣乏味的,not interesting,2
philistine,[ˈfɪlɪstiːn],n.市侩（注重物质而鄙视智慧或艺术的人）,a person guided by materialism,2
hurricane,[ˈhɜːrəkeɪn],n. 飓风般的事物，引起动荡的事物,resembling a hurricane,2
urbane,[ɜːrˈbeɪn],adj. 彬彬有礼的，文雅的,polite,2
arcane,[ɑːrˈkeɪn],adj.深奥的，难以理解的,difficult to understand,2
bane,[beɪn],n.有害的物质,kill or injure a living thing,2
attune,[ə'tʊn; ə'tjʊn],vt.使协调，使和谐,into harmony,2
prototype,[ˈproʊtətaɪp],n.原型,an original model,2
chaperone,[ˈʃæpəroʊn],vt.同行，护送,go along with,2
wane,[weɪn],vi. 减少，衰退，缺少的,decrease,2
germane,[dʒɜːrˈmeɪn],adj.有关的，适当的,relevant,2
conspire,[kənˈspaɪər],v.合谋，密谋,plan secretly,2
serpentine,[ˈsɜːrpəntiːn],adj.弯曲的,winding,2
epicure,[ˈepɪkjʊr],n.美食家,one with discriminating tastes,2
pine,[paɪn],v.渴望，奢望,yearn intensely,2
convene,[kənˈviːn],vt.召开，召集,bring together in assembly,2
bore,[bɔːr],n.令人厌烦的人或事物；; vt.使厌倦，使厌烦,1. causes boredom; 2. make weary,2
conjecture,[kənˈdʒektʃər],n.推测，猜测; v.（没有依据地）认为,1. a conclusion deduced by surmise; 2. form an opinion from no evidence,2
inure,[ɪˈnjʊr],vt. 使习惯接受不好的东西,accustom,2
anodyne,[ˈænədaɪn],adj.无害的,not causing hurt,2
refine,[rɪˈfaɪn],vt.改善，改进,improve or perfect,2
doctrinaire,[ˌdɑːktrɪˈner],adj.教条主义的，照本宣科的,strongly held opinions,2
snare,[sner],n.无法逃脱的困境; vt.捕捉,1.catches and holds; 2.capture by,2
inane,[ɪˈneɪn],adj. 空洞的,lacking significance,2
saccharine,[ˈsækərɪn],adj.像糖一样的，有甜味的; adj.做作的，矫情的,1.sugar; 2.appealing to the emotions,2
allure,[əˈlʊr],vt.吸引,attract or delight,2
drone,[droʊn],v. 低沉单调地说；嗡嗡地叫,talk monotonous,2
stricture,[ˈstrɪktʃər],n. 责难，批评,criticism,2
repine,[rɪˈpaɪn],vi.抱怨，表达不满；; vi.渴望,1.express discontent; 2.long for,2
saturnine,[ˈsætərnaɪn],adj.忧郁的，阴沉的,lacking in cheer,2
shipshape,[ˈʃɪpʃeɪp],adj.井然有序的,order,2
repertoire,[ˈrepərtwɑːr],n.（技术、设备或原料等的）详单,complete list,2
caricature,"[ˈkærɪkətʃər,ˈkærɪkətʃʊr]",n.用讽刺歪曲等手法的夸张，漫画，讽刺画; v.嘲笑性模仿或夸张,1. exaggeration; 2. copy or exaggerate to make fun of,2
conjure,[ˈkɑːndʒər],vt.请求，恳求；; vt.在脑海中浮现，想起,1. entreat earnestly; 2. form a mental picture,2
macabre,[məˈkɑːbrə],adj.恐怖的,horror of death,2
opportune,[ˌɑːpərˈtuːn],adj.合适的，适当的,convenient,2
stereotype,[ˈsteriətaɪp],n.成见，老套的理念,a conventional opinion,2
profane,[prəˈfeɪn],v.亵渎,treat with abuse,2
backfire,[ˌbækˈfaɪər],vi.产生相反的结果，事与愿违,reverse,2
stature,[ˈstætʃər],n. 高度，身高; n. 才干，水平,.1. height; 2. quality or status,2
