Word,Pronunciation,Translation,Definition,Familiarity
austere,[ɔːˈstɪr],adj.朴素的，朴实无华的；,simple,2
dupe,[duːp],n. 易受骗的人  ;  vt. 欺骗,1. easily deceived; 2. deceive,2
nurture,[ˈnɜːrtʃər],vt.培育，培养,provide with understanding,2
byzantine,[ˈbɪzəntiːn],adj.错综复杂的,complicated or secretive,2
dire,[ˈdaɪər],adj. 可怕的，恐怖的    ; adj. 迫切的,1. fear; 2. immediate; urgent,2
immure,[ɪˈmjʊr],vt. 监禁，禁闭；使闭门不出,confine,2
mundane,[mʌnˈdeɪn],adj.平凡的,commonplace,2
underscore,[ˌʌndərˈskɔːr],vt. 强调,to emphasize,2
quarantine,[ˈkwɔːrəntiːn],n.隔离,isolation,2
pristine,[ˈprɪstiːn],adj.纯净的，质朴的，未被文明腐蚀的,remaining in a pure state,2
censure,[ˈsenʃər],v.公开表示反对，谴责,express public disapproval of,2
elephantine,[ˌelɪˈfæntiːn],adj.巨大的  ; adj. 笨拙的,1. enormous size; 2. clumsy,2
serene,[səˈriːn],adj.安静的,free from uproar,2
overture,"[ˈoʊvərtʃər,ˈoʊvərtʃʊr]",n.前言; n.序曲,1.introductory prelude; 2.opera,2
revere,[rɪˈvɪr],vt.（尤指对神的）尊崇，尊敬,repect,2
jape,[dʒeɪp],v. 嘲弄,mockingly,2
opine,[oʊˈpaɪn],v.表达观点；想，认为,express opinions,2
rupture,[ˈrʌptʃər],v.打破；打碎，破裂,part,2
mediocre,[ˌmiːdiˈoʊkər],adj.平庸的；质量中等偏差的,moderate,2
adhere,[ədˈhɪr],v.服从，遵守,according to the commands,2
fracture,[ˈfræktʃər],n.破裂; vt.打碎，破坏,1. breaking; 2. separate into pieces,2
divestiture,[daɪˈvestɪtʃər; dəˈvestətʃər ],n. 剥夺,taking away,2
sinecure,[ˈsaɪnɪkjʊr],n.拿钱不干事的职务；闲差事,requires little or no work,2
obscure,[əbˈskjʊr],adj.含义模糊的; adj.平凡的，不知名的,1.not clearly veiled or uncertain meaning; 2.famous,2
acquire,[əˈkwaɪər],vt.获取，获得,get as one's own,2
sere,[sɪr],adj.干枯的，凋萎的,dried withered,2
contravene,[ˌkɑːntrəˈviːn],v.违反，反对,"violate, oppose",2
atone,[əˈtoʊn],v.赎罪，弥补,amend,2
clandestine,"[klænˈdestɪn,ˈklændəstaɪn]",adj.隐藏的，秘密的,kept in secret,2
procure,[prəˈkjʊr],v.获得，取得,get possession of,2
confine,[kənˈfaɪn],v.限制,keep within limits,2
archetype,[ˈɑːrkitaɪp],n.典范，榜样,ideal example,2
deplore,[dɪˈplɔːr],vt. 谴责，强烈反对,hate or dislike,2
prune,[pruːn],vt.修剪；修整,cut off,2
reassure,[ˌriːəˈʃʊr],vt.使安心，打消疑虑,restore to confidence,2
supine,[ˈsuːpaɪn],adj. 懒散的，倦怠的，消极的，漠不关心的,lethargy indifference,2
predestine,[priːˈdestɪn],v.预先注定,determine the fate in advance,2
condone,[kənˈdoʊn],v.宽恕；忽视,"overlook, forgive",2
immature,"[ˌɪməˈtʃʊr,ˌɪməˈtʊr]",adj. （生理、心理）未完全发展的，未发育成熟的,lacking complete growth,2
mire,[ˈmaɪər],n.困境; vt.使陷入困境，拖后腿,1.difficult situation; 2.hold back,2
trope,[troʊp],n. 比喻; n. 陈词滥调,1. figurative; 2. used by many people,2
gripe,[ɡraɪp],vi.抱怨,dissatisfaction,2
pore,[pɔːr],v.仔细浏览，仔细研究,read or study attentively,2
pretense,[ˈpriːtens],n.虚假，伪装; n.自大，优越感,1. the act of pretending; 2. an exaggerated sense of one's importance,2
obtuse,[əbˈtuːs],adj.愚钝的,absorb ideas readily,2
pontificate,[pɑːnˈtɪfɪkeɪt; pɑːnˈtɪfɪkət],v.傲慢地做或说,speak in a pompous way,2
defuse,[diːˈfjuːz],vt. 抚慰，减轻,make less tense,2
apprise,[əˈpraɪz],v.通知，告知,inform,2
blasé,[blɑːˈzeɪ],adj.（过度放纵之后）厌倦享乐的，腻烦的,apathetic,2
despise,[dɪˈspaɪz],vt. 极其不喜欢,dislike strongly,2
abate,[əˈbeɪt],v.减轻（程度或者强度）; v.减少（数量），降低（价值）,1.reduce degree intensity; 2.reduce amount or value,2
relapse,[ˈriːlæps; rɪˈlæps],vi.重蹈覆辙，再犯,fall back,2
license,[ˈlaɪsns],n.许可，认可; n.自由,1. the approval; 2. the right to move freely,2
enfranchise,[ɪnˈfræntʃaɪz],vt. 给予…权利（例如选举权）  ; vt. 解放,1. endow rights; 2. set free,2
desiccate,"['dɛsɪ,ket]",vt. 使缺乏活力,deprive vitality,2
suture,[ˈsuːtʃər],n./v. 缝合,joining,2
disabuse,[ˌdɪsəˈbjuːz],vt. 打消错误念头，纠正,"free from error, fallacy, misconception",2
exacerbate,[ɪɡˈzæsərbeɪt],"vt.使加剧,使恶化",severe,2
consolidate,[kənˈsɑːlɪdeɪt],v.加固，使安全,make firm,2
posture,[ˈpɑːstʃər],v.故作姿态，装模作样,assume a pretended attitude,2
advocate,[ˈædvəkeɪt; ˈædvəkət],vt.支持，提倡,support,2
bifurcate,[ˈbaɪfərkeɪt],v.（使）分成两支,divide into two branched,2
paraphrase,[ˈpærəfreɪz],v.转述，意译，改写,in different words,2
surmise,[sərˈmaɪz],n.（根据不足的）推测，揣测; v.推测,1. a thought based on scanty evidence; 2. form a noion from scanty evidence,2
sacrilege,[ˈsækrəlɪdʒ],n.亵渎圣物,profanation,2
chorale,"[kəˈræl,kəˈrɑːl]",n.赞美诗；; n.合唱班，合唱团,1. hymn or psalm in church; 2. group of singers,2
montage,[ˌmɑːnˈtɑːʒ],n.大杂烩,collection,2
umbrage,[ˈʌmbrɪdʒ],n.不悦，生气,being affended,2
badinage,[ˌbædnˈɑːʒ],n.打趣，善意的玩笑,banter,2
nudge,[nʌdʒ],vt.说服某人做某事,persuade,2
gauge,[ɡeɪdʒ],n.测量标准; vt.判定,1. measurement; standard; 2. determine,2
gorge,[ɡɔːrdʒ],n.峡谷; v.狼吞虎咽,1. canyon; 2. eat greedily,2
tinge,[tɪndʒ],vt. 给…着上少量的色彩,tint,2
gaffe,[ɡæf],n.（社交上）失礼，失态,social blunder,2
beige,[beɪʒ],adj.缺乏特征的,lacking distinction,2
surcharge,[ˈsɜːrtʃɑːrdʒ],v./n. 过高收费,charge much,2
panache,"[pəˈnæʃ,pəˈnɑːʃ]",n.炫耀,flamboyance,2
disgorge,[dɪsˈɡɔːrdʒ],v. 呕吐出,discharge; vomit,2
cache,[kæʃ],n.囤货，藏货,a supply,2
imperturbable,[ˌɪmpərˈtɜːrbəbl],adj. 沉着冷静的，淡定的,extremely calm,2
bonhomie,[ˌbɑːnəˈmiː],n.温和，和蔼,geniality,2
constringe,[kənˈstrɪndʒ],v.使紧缩,draw together,2
hodgepodge,[ˈhɑːdʒpɑːdʒ],n. 大杂烩,"mixture, dissimilar",2
yoke,[joʊk],v. 连接,become joined,2
homage,"[ˈhɑːmɪdʒ,oʊˈmɑːʒ]",n. 尊敬，敬意,respect,2
subterfuge,[ˈsʌbtərfjuːdʒ],n. 诡计,deception to conceal,2
