Word,Pronunciation,Translation,Definition,Familiarity
secluded,[sɪˈkluːdɪd],adj.僻静的，隐蔽的,hidden,2
despotic,[dɪˈspɑːtɪk],adj. 专制的，暴虐的,tyrannical,2
flaccid,"[ˈflæsɪd,ˈflæksɪd]",adj.不结实的，松弛的,lacking firmness,2
levelheaded,['levəl'hedɪd],adj. 明智的,sensible,2
ironclad,[ˈaɪərnklæd],adj. 非常坚固的，坚不可摧的,unbreakable,2
apocalyptic,[əˌpɑːkəˈlɪptɪk],adj.预言的，启示的; adj.重要的，转折点的,1.prophetic; 2.major turning,2
disjointed,[dɪsˈdʒɔɪntɪd],adj. 不连贯的,not connected,2
fad,[fæd],n.（短暂的）流行，时尚,popular for a short time,2
tightfisted,['tait'fistid],adj. 吝啬的,stingy,2
ill-bred,[ˌɪl ˈbred],adj.没有教养的，没有礼貌的,impolite,2
wretched,[ˈretʃɪd],adj. 极差的; adj. 沮丧的,1. poor in quality; 2. dejected,2
placid,[ˈplæsɪd],adj.冷静的，淡定的,free from agitation,2
barefaced,[ˈberfeɪst],adj.公然的,brazen,2
gigantic,[dʒaɪˈɡæntɪk],adj.巨大的,large,2
embed,[ɪmˈbed],vt. 嵌入,enclose,2
thick-skinned,[ˌθɪk ˈskɪnd],adj.冷漠无情的，不顾及他人感受的,largely unaffected by the feelings of other people,2
acquainted,[əˈkweɪntɪd],adj.熟悉的,having information,2
lopsided,[ˌlɑːpˈsaɪdɪd],adj.不平衡的，不协调的,lacking in balance,2
versed,[vɜːrst],adj. 熟知的; adj. 精通的,1. having information; 2. exceptional knowledge,2
frigid,[ˈfrɪdʒɪd],adj.严寒的; adj.冷漠的,1. cold; 2. lacking warmth,2
devoted,[dɪˈvoʊtɪd],adj. 投入的；忠诚的,loyalty; devotion,2
quixotic,[kwɪkˈsɑːtɪk],adj.不切实际的，空想的,more by ideals than by reality,2
pessimistic,[ˌpesɪˈmɪstɪk],adj.悲观的,taking the gloomist possible view,2
myriad,[ˈmɪriəd],adj.无限的，大量的,indefinite number,2
