Word,Pronunciation,Translation,Definition,Familiarity
erratic,[ɪˈrætɪk],adj.善变的,not constant,2
ascetic,[əˈsetɪk],adj./n. 自制的(人),self-denial,2
laconic,[ləˈkɑːnɪk],adj. 简洁（以至于显得粗鲁或难以理解）的,minimum of words; concise,2
cryptic,[ˈkrɪptɪk],adj.秘密的   ; adj.难以理解的,1. secret; 2. beyond one's powers to know,2
lucid,[ˈluːsɪd],adj.表达清晰的，简单易懂的,easily understood,2
wrongheaded,[ˌrɔːŋˈhedɪd],adj.固执己见的，坚持（错误观点的）,stubborn in adherence,2
corrugated,[ˈkɔːrəɡeɪtɪd],adj.褶皱的,shaped into a series of folds,2
hypnotic,[hɪpˈnɑːtɪk],adj. 催眠的,cause sleep,2
contrived,[kənˈtraɪvd],adj.不自然的，刻意的,lacking spontaneous quality,2
egoistic,[ˌiːɡoʊˈɪstɪk],adj. 利己的，以自我为中心的,centered in oneself,2
concerted,[kənˈsɜːrtɪd],adj.共同完成的,planned or accomplished together,2
aseptic,[ˌeɪˈseptɪk],adj.消毒的，无菌的,preventing infection,2
morbid,[ˈmɔːrbɪd],adj.疾病的，疾病所指的; adj.（思想性格）变态的,1.by disease; 2.unwholesome thoughts,2
chauvinistic,[ˌʃoʊvɪˈnɪstɪk],adj.盲目爱国的,showing excessive favorism,2
far-fetched,[ˌfɑːr ˈfetʃt],adj.牵强的，不可信的,not likely to be true,2
flaccid,"[ˈflæsɪd,ˈflæksɪd]",adj.不结实的，松弛的,lacking firmness,2
apocalyptic,[əˌpɑːkəˈlɪptɪk],adj.预言的，启示的; adj.重要的，转折点的,1.prophetic; 2.major turning,2
fad,[fæd],n.（短暂的）流行，时尚,popular for a short time,2
thick-skinned,[ˌθɪk ˈskɪnd],adj.冷漠无情的，不顾及他人感受的,largely unaffected by the feelings of other people,2
versed,[vɜːrst],adj. 熟知的; adj. 精通的,1. having information; 2. exceptional knowledge,2
myriad,[ˈmɪriəd],adj.无限的，大量的,indefinite number,2
