Word,Pronunciation,Translation,Definition,Familiarity
vestige,[ˈvestɪdʒ],n. 微小的遗迹，小痕迹,smallest trace,2
belie,[bɪˈlaɪ],v.掩饰；;  v.与…相对立；与…相矛盾,1. shut off from view; 2. be counter to,2
equable,[ˈekwəbl],adj.（脾气、性情）温和的,serene,2
irascible,[ɪˈræsəbl],adj. 易怒的,easily provoked anger,2
affable,[ˈæfəbl],adj.和蔼的，温和的,ease friendliness,2
formidable,"[ˈfɔːrmɪdəbl,fərˈmɪdəbl]",adj.艰难的,requiring effort,2
hobble,[ˈhɑːbl],vt.阻碍，妨碍,hamper the action,2
fumble,[ˈfʌmbl],v.笨拙地做,awkward attempts,2
incorrigible,[ɪnˈkɔːrɪdʒəbl],adj. 不可救药的，积习难改的; adj. 无法管制的,1. incapable of being corrected; 2. impossible to control,2
bumble,[ˈbʌmbl],vi.含糊不清地说，杂乱无章地说；,"rapidly, inarticulately",2
unflappable,[ˌʌnˈflæpəbl],adj. 镇定的，从容不迫的,not easily upset,2
quibble,[ˈkwɪbl],vi.吹毛求疵,cavil,2
amenable,"[əˈmiːnəbl,əˈmenəbl]",adj.顺从的，服从的,"yield, submit",2
ineffable,[ɪnˈefəbl],adj. 难以表达的,incapable expressed,2
scrutable,[ˈskruːtəbl],adj.可以理解的,"understood,comprehensible",2
fungible,[ˈfʌndʒəbl],adj.可互换的,substituted in place of one another,2
foible,[ˈfɔɪbl],n.小缺点,minor flaw,2
grumble,[ˈɡrʌmbl],vi.（尤指低声地）抱怨，埋怨,complain,2
gobble,[ˈɡɑːbl],vt.狼吞虎咽,eat greedily,2
ineluctable,[ˌɪnɪˈlʌktəbl],adj. 无法逃避的，必然的,not to be avoided,2
garble,[ˈɡɑːrbəl],vt.曲解，篡改，混淆（以至使无法理解）,distort; misleading,2
wobble,[ˈwɑːbl],vi. 摇晃，颤抖; v.犹豫不决,1. move or proceed unsteadily; 2. show uncertainty,2
arable,[ˈærəbl],adj.适合耕种的,growing of crops,2
palatable,[ˈpælətəbl],adj.感到愉悦满足的,pleasure or contentment,2
rabble,[ˈræbl],n.混乱的人群；暴民；下层民众,disorganized crowd of people,2
personable,[ˈpɜːrsənəbl],adj.风度翩翩的，吸引人的,attractive,2
unimpeachable,[ˌʌnɪmˈpiːtʃəbl],adj. 无可置疑的,unquestionable,2
friable,[ˈfraɪəbl],adj.易碎的,easily crumbled,2
implacable,[ɪmˈplækəbl],adj. 固执的; adj. 无法平息的,1. sticking to an opinion; 2. not capable of being appeased,2
amble,[ˈæmbl],vi./n.漫步，闲逛,walk slowly or leisurely,2
redoubtable,[rɪˈdaʊtəbl],adj.杰出的，值得尊敬的；; adj.可怕的,1.worthy of respect; 2.arousing fear,2
dabble,[ˈdæbl],vi.涉猎，对…浅尝辄止,superficially,2
warble,[ˈwɔːrbl],v. 柔和地唱歌,sing with melodic embellishments,2
irradicable,[ɪˈrædɪkəbəl],adj. 不能根除的,impossible destroy,2
dissemble,[dɪˈsembl],v. 用假象隐藏真相，掩饰,FALSE,2
pliable,[ˈplaɪəbl],adj.易弯曲的，柔软的; adj.易受影响的，温顺的,1. supple; 2. easily influenced,2
impenetrable,[ɪmˈpenɪtrəbl],adj. 不可渗透的，不可穿透的; adj. 难以理解的,1. impossible to get through; 2. incapable of being comprehended,2
culpable,[ˈkʌlpəbl],adj. 该受谴责的，有罪的,deserving blame,2
scribble,[ˈskrɪbl],v.潦草地书写，乱写,meaningless,2
amicable,[ˈæmɪkəbl],adj.友善的,friendly,2
inexorable,[ɪnˈeksərəbl],adj. 无法劝阻的，不为所动的,not persuaded,2
potable,[ˈpoʊtəbl],n.饮品，尤指有酒精饮料; adj.适于饮用的,1. a beverage; 2. suitable for drinking,2
ramble,[ˈræmbl],vi.漫谈；长篇大论（并经常离题）地说或写,talk without a topic,2
interminable,[ɪnˈtɜːrmɪnəbl],adj. 无尽头的,no end,2
wheedle,[ˈwiːdl],v. （用花言巧语）诱惑，哄骗,persuade by flattery,2
scruple,[ˈskruːpl],n.（良心上的）不安,unseasy feeling about the rightness,2
dawdle,[ˈdɔːdl],v. 拖拖拉拉,slowly,2
ruffle,[ˈrʌfl],vt.使粗糙; vt.扰乱，打扰,1.destroy smoothness; 2.disturb,2
swindle,[ˈswɪndl],vt. 欺骗，骗取,cheat,2
ramshackle,[ˈræmʃækl],adj.摇摇欲坠的,ready to collapse,2
labile,['lebɪl],adj. 易变的，不稳定的,unstable,2
mollycoddle,[ˈmɑːlikɑːdl],vt.宠爱，溺爱,excessive indulgence,2
inveigle,[ɪnˈveɪɡl],vt. 诱骗,win over by coaxing,2
mettle,[ˈmetl],n.勇气; n.毅力，耐力,1.strength of spirit; 2.stamina,2
bridle,[ˈbraɪdl],v.限制,keep from exceeding,2
mottle,['mɑtl],vt.标记上杂色斑点的,mark spots,2
nettle,[ˈnetl],vt.惹怒,arouse anger,2
lissome,['lisəm],adj.柔软的; adj.敏捷的，轻盈的,1.easily bent; 2.move with ease,2
embezzle,[ɪmˈbezl],vt. 盗用,appropriate,2
rigmarole,[ˈrɪɡməroʊl],n.混乱无意义的话,confused or meaningless talk,2
inflame,[ɪnˈfleɪm],vt. 使加剧,more voilent,2
ductile,[ˈdʌktaɪl],adj. 易受影响的,easily led,2
wrangle,[ˈræŋɡl],n. 纷争，争端; vi. 争吵,1. differing opinions; 2. quarrel,2
rustle,[ˈrʌsl],vi.快速地行动,move or act with speed,2
mangle,[ˈmæŋɡl],vt.弄砸,ruin,2
puerile,[ˈpjʊrəl],adj.幼稚的，不成熟的,immature,2
acme,[ˈækmi],n.顶点，极点,highest,2
saddle,[ˈsædl],vt.使某人有负担,load,2
shackle,[ˈʃækl],vt.束缚; vt.限制，阻碍,1.restrictions; 2.create difficulty,2
waffle,[ˈwɑːfl],vi. 胡扯,talk foolishly,2
waddle,[ˈwɑːdl],vi. 摇摇摆摆地走,tilt the body from side to side,2
disgruntle,[dɪs'grʌntl],vt. 使发怒，使不满意,discontented,2
vile,[vaɪl],adj. 丑陋的; adj. （道德上）可鄙的，卑鄙的,1. unpleasant to look at; 2. morally despicable,2
bungle,[ˈbʌŋɡl],v.办糟，失败,work clumsily,2
cajole,[kəˈdʒoʊl],v.哄骗,wheedle,2
supple,[ˈsʌpl],adj. 易弯曲的，柔软的,bent; pliant,2
manacle,[ˈmænəkl],vt.限制，给…制造困难,confine or restrain,2
winsome,[ˈwɪnsəm],adj. 迷人的，漂亮的,pleasing and engaging,2
rile,[raɪl],vt.刺激，惹怒,make agitated,2
domicile,"[ˈdɑːmɪsaɪl,ˈdoʊmɪsaɪl]",vt. 为…提供住处,provide domicile,2
debacle,[dɪˈbɑːkl],n. 溃败,complete failure,2
