Word,Pronunciation,Translation,Definition,Familiarity
impuissance,[ɪm'pjuːɪsəns],n. 无权，虚弱,lack of power,2
cede,[siːd],vt.（根据条约）放弃，割让,surrender possession of,2
appurtenance,[əˈpɜːrtɪnəns],n.附属物,subordinate,2
remonstrance,[rɪˈmɑːnstrəns],n.抗议，抱怨,expression of protest,2
turpitude,[ˈtɜːrpɪtuːd],n. 卑鄙,baseness,2
forbearance,[fɔːrˈberəns],n.克制；忍耐,tolerance and restraint,2
barricade,[ˈbærɪkeɪd],n.障碍物;  v.用障碍物阻止通过,1. an obstruction; 2. prevent access,2
chide,[tʃaɪd],v.责备,scold mildly,2
entrance,[ˈentrəns; ɪnˈtræns],vt.使入迷,fill with wonder,2
countenance,[ˈkaʊntənəns],v.容忍; v.赞成，推崇,1. put up with; 2. have a favorable opinion of,2
wince,[wɪns],vi. 畏缩,shrink back from pain,2
consilience,[kən'sɪlɪəns],n.融合,the linking together of principles,2
somnolence,[ˈsɒmnələns],n.瞌睡，嗜睡,needing sleep,2
prude,[pruːd],n.过分正经的人：一个过分关心自己是否得体、谦逊或正确的人,greatly concerned with seemly behavior and morality,2
decadence,[ˈdekədəns],n. 衰落，颓废,deterioration or decline,2
sacrilege,[ˈsækrəlɪdʒ],n.亵渎圣物,profanation,2
chorale,"[kəˈræl,kəˈrɑːl]",n.赞美诗；; n.合唱班，合唱团,1. hymn or psalm in church; 2. group of singers,2
sabotage,[ˈsæbətɑːʒ],n.妨害，破坏; vt.从事破坏活动,1.hinder a cause; 2.practice sabotage,2
montage,[ˌmɑːnˈtɑːʒ],n.大杂烩,collection,2
submerge,[səbˈmɜːrdʒ],vt. 使淹没,under water,2
mirage,[məˈrɑːʒ],n.海市蜃楼，幻想,illusory,2
umbrage,[ˈʌmbrɪdʒ],n.不悦，生气,being affended,2
carefree,[ˈkerfriː],adj.无忧无虑的,no worries or troubles,2
diverge,[daɪˈvɜːrdʒ],vt. （使）分叉，散开  ; vi. 分歧,1. differnent directions from central point; 2. diffenert;differ,2
badinage,[ˌbædnˈɑːʒ],n.打趣，善意的玩笑,banter,2
camouflage,[ˈkæməflɑːʒ],v./n.伪装；伪装手段,behavior to deceive or hide,2
convoke,[kənˈvoʊk],v.召集开会,bring together,2
nudge,[nʌdʒ],vt.说服某人做某事,persuade,2
disengage,[ˌdɪsɪnˈɡeɪdʒ],vt. 分开，使脱离,set free from entanglement,2
gauge,[ɡeɪdʒ],n.测量标准; vt.判定,1. measurement; standard; 2. determine,2
prestige,[preˈstiːʒ],n.声望，威望,the level of respect,2
revoke,[rɪˈvoʊk],vt.撤回，宣告无效,annul,2
gorge,[ɡɔːrdʒ],n.峡谷; v.狼吞虎咽,1. canyon; 2. eat greedily,2
discharge,[dɪsˈtʃɑːrdʒ],vt. 解雇   ; vt. 释放,1. dismiss; 2. free,2
tinge,[tɪndʒ],vt. 给…着上少量的色彩,tint,2
soothe,[suːð],vt.带来慰藉，安慰,bring comfort,2
gaffe,[ɡæf],n.（社交上）失礼，失态,social blunder,2
beige,[beɪʒ],adj.缺乏特征的,lacking distinction,2
invoke,[ɪnˈvoʊk],vt. 实施; vt. 产生，造成,1. put into effect; 2. be the cause,2
surcharge,[ˈsɜːrtʃɑːrdʒ],v./n. 过高收费,charge much,2
sage,[seɪdʒ],智者,wisdom,2
forsake,[fərˈseɪk],vt.彻底放弃，抛弃,renounce,2
